27.900  0.8479207495 -0.5225201362 
28.000  0.8467702464 -0.5242458908 
28.100  0.8456197434 -0.5257798949 
28.200  0.8446609908 -0.5275056494 
28.300  0.8435104878 -0.529231404 
28.400  0.8423599847 -0.5309571586 
28.500  0.8414012322 -0.5324911627 
28.600  0.8402507291 -0.5342169172 
28.700  0.8391002261 -0.5357509213 
28.800  0.8381414735 -0.5374766759 
28.900  0.8369909705 -0.5392024305 
29.000  0.8358404674 -0.5407364345 
29.100  0.8346899644 -0.5424621891 
29.200  0.8335394613 -0.5441879437 
29.300  0.8325807088 -0.5457219478 
29.400  0.8314302057 -0.5474477023 
29.500  0.8302797027 -0.5489817064 
29.600  0.8291291996 -0.550707461 
29.700  0.8279786966 -0.5522414651 
29.800  0.8268281935 -0.5539672196 
29.900  0.8256776905 -0.5555012237 
30.000  0.8245271874 -0.5572269783 
30.100  0.8235684349 -0.5587609824 
30.200  0.8224179318 -0.5604867369 
30.300  0.8212674288 -0.562020741 
30.400  0.8201169257 -0.5635547451 
30.500  0.8189664227 -0.5652804997 
30.600  0.8178159196 -0.5668145037 
30.700  0.8164736661 -0.5685402583 
30.800  0.815323163 -0.5700742624 
30.900  0.81417266 -0.5716082664 
31.000  0.8130221569 -0.573334021 
31.100  0.8118716538 -0.5748680251 
31.200  0.8107211508 -0.5764020292 
31.300  0.8095706477 -0.5781277837 
31.400  0.8084201447 -0.5796617878 
31.500  0.8070778911 -0.5811957919 
31.600  0.8059273881 -0.5829215465 
31.700  0.804776885 -0.5844555505 
31.800  0.803626382 -0.5859895546 
31.900  0.8024758789 -0.5875235587 
32.000  0.8011336254 -0.5892493132 
32.100  0.7999831223 -0.5907833173 
32.200  0.7988326193 -0.5923173214 
32.300  0.7974903657 -0.5938513255 
32.400  0.7963398626 -0.5953853295 
32.500  0.7951893596 -0.5969193336 
32.600  0.793847106 -0.5986450882 
32.700  0.792696603 -0.6001790922 
32.800  0.7915460999 -0.6017130963 
32.900  0.7902038464 -0.6032471004 
33.000  0.7890533433 -0.6047811044 
33.100  0.7877110898 -0.6063151085 
33.200  0.7865605867 -0.6078491126 
33.300  0.7852183331 -0.6093831167 
33.400  0.7840678301 -0.6109171207 
33.500  0.7827255765 -0.6124511248 
33.600  0.7815750735 -0.6139851289 
33.700  0.7802328199 -0.6155191329 
33.800  0.7790823169 -0.617053137 
33.900  0.7777400633 -0.6185871411 
34.000  0.7763978097 -0.6201211451 
34.100  0.7752473067 -0.6216551492 
34.200  0.7739050531 -0.6231891533 
34.300  0.7727545501 -0.6247231574 
34.400  0.7714122965 -0.6262571614 
34.500  0.770070043 -0.6277911655 
34.600  0.7689195399 -0.6293251696 
34.700  0.7675772863 -0.6306674231 
34.800  0.7662350328 -0.6322014272 
34.900  0.7648927792 -0.6337354313 
35.000  0.7637422762 -0.6352694353 
35.100  0.7624000226 -0.6368034394 
35.200  0.761057769 -0.638145693 
35.300  0.7597155155 -0.639679697 
35.400  0.7585650124 -0.6412137011 
35.500  0.7572227589 -0.6427477052 
35.600  0.7558805053 -0.6440899587 
35.700  0.7545382517 -0.6456239628 
35.800  0.7531959982 -0.6471579669 
35.900  0.7518537446 -0.6485002204 
36.000  0.7505114911 -0.6500342245 
36.100  0.7491692375 -0.6515682286 
36.200  0.7478269839 -0.6529104821 
36.300  0.7466764809 -0.6544444862 
36.400  0.7453342273 -0.6559784903 
36.500  0.7439919738 -0.6573207438 
36.600  0.7426497202 -0.6588547479 
36.700  0.7413074666 -0.6601970015 
36.800  0.7399652131 -0.6617310055 
36.900  0.7386229595 -0.6630732591 
37.000  0.7370889555 -0.6646072632 
37.100  0.7357467019 -0.6659495167 
37.200  0.7344044483 -0.6674835208 
37.300  0.7330621948 -0.6688257744 
37.400  0.7317199412 -0.6703597784 
37.500  0.7303776877 -0.671702032 
37.600  0.7290354341 -0.6732360361 
37.700  0.7276931805 -0.6745782896 
37.800  0.726350927 -0.6761122937 
37.900  0.7248169229 -0.6774545472 
38.000  0.7234746693 -0.6787968008 
38.100  0.7221324158 -0.6803308049 
38.200  0.7207901622 -0.6816730584 
